Device dd:09:38:b5:ed:8c, RSSI=-64 dB
Device d7:2f:c7:06:93:01, RSSI=-57 dB
Device c3:2b:78:b5:c2:4a, RSSI=-54 dB
Device c6:30:71:35:02:5a, RSSI=-54 dB
Device dc:bc:ed:19:1f:09, RSSI=-49 dB
Device d7:11:de:c6:c8:e3, RSSI=-52 dB
Device de:7f:7f:a2:9c:f5, RSSI=-46 dB
Device f2:26:6c:f5:ca:e5, RSSI=-51 dB
Device f5:e7:4d:77:4e:74, RSSI=-49 dB
Device d4:56:f4:e1:ef:f1, RSSI=-46 dB
Device e6:cc:57:a3:6b:57, RSSI=-50 dB
Device c1:a8:ac:1f:25:2e, RSSI=-52 dB
Device c5:61:a9:e9:83:ef, RSSI=-46 dB
Device c4:3e:0b:bc:e6:92, RSSI=-41 dB
Device dc:11:e6:20:81:d8, RSSI=-49 dB
Device fb:f5:d5:84:a1:68, RSSI=-40 dB
Device d8:ae:5b:aa:55:ae, RSSI=-52 dB
Device f9:39:24:a9:04:f1, RSSI=-36 dB
Device e3:af:2f:25:c9:ca, RSSI=-57 dB
Device cb:14:eb:9a:5c:a3, RSSI=-59 dB
Device de:94:80:39:25:be, RSSI=-37 dB
Device fc:3f:62:28:17:b4, RSSI=-45 dB
Device fd:f3:eb:4b:d0:8c, RSSI=-55 dB
Device d9:98:8a:68:f0:89, RSSI=-51 dB
Device d9:f9:0f:ea:59:23, RSSI=-54 dB
Device e0:c3:d6:2e:ab:44, RSSI=-51 dB
Device d5:46:26:05:1f:2f, RSSI=-57 dB
Device ce:22:14:de:40:38, RSSI=-51 dB
Device da:03:10:bb:61:f5, RSSI=-55 dB
Device e7:03:db:e9:16:3b, RSSI=-53 dB
Device f5:40:84:e2:9a:16, RSSI=-41 dB
Device e5:93:96:ca:ee:c4, RSSI=-42 dB
Device d2:fd:13:bd:81:39, RSSI=-38 dB
Device fa:24:bd:55:c7:ab, RSSI=-46 dB
Device dc:a4:f4:7e:45:fb, RSSI=-59 dB
Device c3:4c:d5:ba:b1:44, RSSI=-49 dB
Device f7:5a:78:fd:21:46, RSSI=-53 dB
Device e9:59:12:26:a7:63, RSSI=-53 dB
Device db:03:30:a6:ee:86, RSSI=-45 dB
Device d2:4f:7c:01:93:0e, RSSI=-49 dB
Device d9:0d:2e:b7:cc:6b, RSSI=-45 dB
Device d2:91:1c:b9:6f:5c, RSSI=-57 dB
Device d6:12:78:32:80:19, RSSI=-49 dB
Device e2:6e:4e:21:f1:a4, RSSI=-40 dB
Device e8:03:31:16:ce:3a, RSSI=-46 dB
Device fe:82:88:fa:36:62, RSSI=-49 dB
Device e4:9c:cc:8c:8f:da, RSSI=-58 dB
Device d1:0e:45:ac:97:dd, RSSI=-58 dB
Device d5:59:73:d7:38:3d, RSSI=-55 dB
Device cb:58:7b:77:44:d6, RSSI=-55 dB
Device fe:71:db:20:4f:34, RSSI=-60 dB
Device d0:c5:cc:ef:90:e2, RSSI=-58 dB
Device c1:a4:56:be:7f:7e, RSSI=-56 dB
Device f6:01:ad:d1:18:23, RSSI=-59 dB
Device f5:ef:4c:9b:55:de, RSSI=-40 dB
Device d8:52:cd:32:50:b0, RSSI=-60 dB
Device e8:44:59:c0:39:de, RSSI=-43 dB
Device e3:5d:06:9a:55:0f, RSSI=-62 dB
Device fe:63:f0:a4:c8:f4, RSSI=-56 dB
Device fb:42:af:eb:ba:3c, RSSI=-69 dB
